Ref,Val,Package,PosX,PosY,Rot,Side
"Q27","MMBT3904","SOT-23",336.000000,-74.250000,0.000000,top
"R1","1k","R_0603_1608Metric",282.133000,-145.481000,270.000000,top
"R2","1k","R_0603_1608Metric",283.784000,-145.481000,270.000000,top
"R3","1k","R_0603_1608Metric",310.708000,-144.846000,270.000000,top
"R4","1k","R_0603_1608Metric",37.000000,-46.500000,180.000000,top
"R5","1k","R_0603_1608Metric",32.750000,-43.000000,0.000000,top
"R6","1k","R_0603_1608Metric",29.200000,-42.200000,90.000000,top
"R7","1k","R_0603_1608Metric",295.722000,-146.624000,0.000000,top
"R8","1k","R_0603_1608Metric",276.037000,-145.481000,90.000000,top
"R9","4.7k","R_0603_1608Metric",215.331000,-58.359000,180.000000,top
"R10","100k","R_0603_1608Metric",291.531000,-98.364000,90.000000,top
"R11","100k","R_0603_1608Metric",293.055000,-98.364000,90.000000,top
"R12","100k","R_0603_1608Metric",294.579000,-98.364000,90.000000,top
"R13","100k","R_0603_1608Metric",296.103000,-98.368500,90.000000,top
"R14","100k","R_0603_1608Metric",297.627000,-98.364000,90.000000,top
"R15","100k","R_0603_1608Metric",299.151000,-98.364000,90.000000,top
"R16","100k","R_0603_1608Metric",300.675000,-98.368500,90.000000,top
"R17","100k","R_0603_1608Metric",292.000000,-103.600000,180.000000,top
"R18","4.7k","R_0603_1608Metric",181.803000,-55.946000,0.000000,top
"R19","4.7k","R_0603_1608Metric",181.803000,-54.422000,0.000000,top
"R20","1k","R_0603_1608Metric",150.150000,-113.050000,90.000000,top
"R21","1k","R_0603_1608Metric",147.650000,-112.300000,0.000000,top
"R22","0","R_0603_1608Metric",334.037500,-44.250000,180.000000,top
"R23","316k","R_0603_1608Metric",149.150000,-105.800000,0.000000,top
"R24","52.3k","R_0603_1608Metric",149.900000,-103.050000,90.000000,top
"R25","249k","R_0603_1608Metric",148.150000,-101.800000,90.000000,top
"R26","16.9k","R_0603_1608Metric",147.150000,-96.050000,0.000000,top
"R27","52.3k","R_0603_1608Metric",149.900000,-98.800000,90.000000,top
"R28","10k","R_0603_1608Metric",148.150000,-98.800000,270.000000,top
"R29","2k","R_0603_1608Metric",134.400000,-108.300000,90.000000,top
"R30","316k","R_0603_1608Metric",113.650000,-67.700000,180.000000,top
"R31","52.3k","R_0603_1608Metric",112.900000,-70.450000,270.000000,top
"R32","249k","R_0603_1608Metric",114.650000,-71.700000,270.000000,top
"R33","16.9k","R_0603_1608Metric",115.650000,-77.450000,180.000000,top
"R34","52.3k","R_0603_1608Metric",112.900000,-74.700000,270.000000,top
"R35","10k","R_0603_1608Metric",114.650000,-74.700000,90.000000,top
"R36","2k","R_0603_1608Metric",128.400000,-65.200000,270.000000,top
"R37","10k","R_0603_1608Metric",333.900000,-67.800000,0.000000,top
"R38","100","R_0603_1608Metric",174.310000,-73.980000,270.000000,top
"R39","0","R_0603_1608Metric",187.899000,-44.897000,90.000000,top
"R40","0","R_0603_1608Metric",187.899000,-47.945000,270.000000,top
"R41","4.7k","R_0603_1608Metric",189.042000,-69.789000,90.000000,top
"R42","0","R_0603_1608Metric",215.331000,-59.883000,0.000000,top
"R43","0","R_0603_1608Metric",212.200000,-60.899000,0.000000,top
"R44","10k","R_0603_1608Metric",185.994000,-54.549000,0.000000,top
"R45","0","R_0603_1608Metric",209.616000,-62.550000,270.000000,top
"R46","0","R_0603_1608Metric",201.000000,-63.400000,270.000000,top
"R47","0","R_0603_1608Metric",193.487000,-64.836000,270.000000,top
"R48","0","R_0603_1608Metric",196.408000,-63.058000,270.000000,top
"R49","0","R_0603_1608Metric",197.932000,-63.058000,270.000000,top
"R50","0","R_0603_1608Metric",313.248000,-145.608000,0.000000,top
"R51","0","R_0603_1608Metric",317.058000,-145.608000,0.000000,top
"R52","0","R_0603_1608Metric",293.690000,-145.040000,0.000000,top
"R53","0","R_0603_1608Metric",297.500000,-145.040000,0.000000,top
"R54","10k","R_0603_1608Metric",167.750000,-142.250000,270.000000,top
"R55","10k","R_0603_1608Metric",165.000000,-143.000000,0.000000,top
"R56","10k","R_0603_1608Metric",165.000000,-137.500000,0.000000,top
"R57","10k","R_0603_1608Metric",173.500000,-134.000000,0.000000,top
"R58","10k","R_0603_1608Metric",184.250000,-136.750000,0.000000,top
"R59","10k","R_0603_1608Metric",174.250000,-136.500000,90.000000,top
"R60","10k","R_0603_1608Metric",192.500000,-136.500000,90.000000,top
