# Captured 2020-06-21 11:16:28.481737 by unknown user
# Built at revision 7b9a516 (dirty)
time(sec)  pc_setpoint  pressure  pa_fast_avg  pa_slow_avg
5.870  5.000  5.056  16.317  43.442
5.880  5.000  5.083  16.317  43.442
5.890  5.000  5.042  16.317  43.442
5.900  5.000  5.004  16.317  43.442
5.910  5.000  4.966  16.317  43.442
5.920  5.000  4.959  16.317  43.442
5.930  5.000  4.934  16.317  43.442
5.940  5.000  4.930  16.317  43.442
5.950  5.000  4.920  16.317  43.442
5.960  5.000  4.865  16.317  43.442
5.970  5.000  4.837  16.317  43.442
5.980  5.000  4.927  16.317  43.442
5.990  5.000  4.906  16.317  43.442
6.000  5.000  4.816  16.317  43.442
6.010  5.000  4.814  16.317  43.442
6.020  5.000  4.821  16.317  43.442
6.030  5.000  4.801  16.317  43.442
6.040  5.000  4.840  16.317  43.442
6.050  5.000  4.901  16.317  43.442
6.060  5.000  4.915  16.317  43.442
6.070  5.000  4.894  16.317  43.442
6.080  5.000  4.814  14.514  43.081
6.090  5.000  4.927  12.176  42.678
6.100  5.000  4.923  13.215  42.425
6.110  5.000  4.992  12.324  42.088
6.120  5.000  4.945  13.632  41.856
6.130  5.000  5.001  15.283  41.656
6.140  5.000  4.911  16.522  41.455
6.150  5.000  4.961  18.952  41.327
6.160  5.000  5.008  20.485  41.180
6.170  5.000  4.960  21.327  41.015
6.180  5.000  5.016  25.415  41.022
6.190  5.000  5.024  26.325  40.912
6.200  5.000  5.078  27.340  40.817
6.210  5.000  5.050  29.434  40.787
6.220  5.000  5.025  29.695  40.686
6.230  5.000  5.085  28.626  40.523
6.240  5.000  5.062  27.420  40.343
6.250  5.000  5.153  27.135  40.200
6.260  5.000  5.097  25.907  40.008
6.270  5.000  5.108  26.762  39.910
6.280  5.000  5.052  27.340  39.807
6.290  5.000  5.263  24.521  39.541
6.300  5.000  5.144  23.834  39.357
6.310  5.000  5.072  25.666  39.293
6.320  5.000  5.112  25.608  39.154
6.330  5.000  5.215  22.961  38.886
6.340  5.000  5.178  23.028  38.730
6.350  5.000  5.306  18.949  38.369
6.360  5.000  5.215  15.783  38.017
6.370  5.000  5.110  13.107  37.661
6.380  5.000  5.037  13.107  37.661
6.390  5.000  5.180  13.107  37.661
6.400  5.000  5.176  13.107  37.661
