# Captured 2020-06-21 04:24:23.417792 by unknown user
# Built at revision 944c41f (dirty)
time(sec)  pc_setpoint  pressure  net_flow
7.480  25.000  26.357  225.646
7.490  25.000  26.355  208.605
7.500  25.000  25.684  137.290
7.510  25.000  25.534  140.884
7.520  25.000  25.105  127.055
7.530  25.000  25.981  105.467
7.540  25.000  25.351  98.672
7.550  25.000  25.809  38.903
7.560  25.000  25.223  60.567
7.570  25.000  25.547  11.790
7.580  25.000  25.309  27.544
7.590  25.000  25.368  -4.615
7.600  25.000  25.451  -31.296
7.610  25.000  25.583  -50.350
7.620  25.000  25.121  -48.410
7.630  25.000  25.175  -39.161
7.640  25.000  25.074  -101.267
7.650  25.000  26.046  -70.900
7.660  25.000  25.476  -64.707
7.670  25.000  25.245  -64.032
7.680  25.000  24.904  -86.396
7.690  25.000  25.447  -118.956
7.700  25.000  25.380  -108.962
7.710  25.000  25.370  -124.318
7.720  25.000  25.210  -123.529
7.730  25.000  25.014  -121.612
7.740  25.000  25.167  -125.950
7.750  25.000  25.172  -125.322
7.760  25.000  25.265  -128.807
7.770  25.000  24.837  -121.575
7.780  25.000  24.975  -139.644
7.790  25.000  24.922  -146.515
7.800  25.000  25.143  -150.928
7.810  25.000  24.980  -158.121
7.820  25.000  24.937  -137.654
7.830  25.000  24.872  -139.959
7.840  25.000  24.837  -139.560
7.850  25.000  24.872  -148.313
7.860  25.000  24.838  -119.433
7.870  25.000  24.924  -159.452
7.880  25.000  24.789  -142.635
7.890  25.000  24.964  -139.887
7.900  25.000  24.823  -128.967
7.910  25.000  24.834  -139.779
7.920  25.000  24.971  -152.391
7.930  25.000  24.920  -144.855
7.940  25.000  24.981  -131.648
7.950  25.000  24.811  -152.276
7.960  25.000  24.862  -148.083
7.970  25.000  24.790  -158.513
7.980  25.000  24.851  -122.749
7.990  25.000  24.668  -119.042
8.000  25.000  24.843  -102.396
8.010  25.000  24.931  -131.129
8.020  25.000  24.829  -101.096
8.030  25.000  24.742  -124.615
8.040  25.000  24.832  -101.323
8.050  25.000  24.654  -89.146
8.060  25.000  24.628  -78.039
8.070  25.000  24.882  -79.258
8.080  25.000  25.105  -82.706
8.090  25.000  25.032  -74.205
8.100  25.000  24.832  -51.007
8.110  25.000  24.963  -65.917
8.120  25.000  24.957  -70.781
8.130  25.000  25.132  -64.740
8.140  25.000  24.807  -77.329
8.150  25.000  25.082  -66.876
8.160  25.000  25.070  -68.488
8.170  25.000  25.006  -50.023
8.180  25.000  25.206  -87.968
8.190  25.000  25.075  -67.361
8.200  25.000  24.981  -59.443
8.210  25.000  25.213  -67.715
8.220  25.000  25.207  -76.097
8.230  25.000  24.919  -39.939
8.240  25.000  25.210  -80.986
8.250  25.000  25.263  -92.857
