# This is based on https://github.com/RespiraWorks/VentilatorSoftware/blob/f426ea02efdd4b04b6fe720802c9cd23de6b0672/sample-data/2020-06-21-RunForRecord2-AIR-and-OXY/20200621-RunForRecord2-OXY/covent_pc_1.dat
# rearranged into the form GUI expects with a breath_id added using a shell script
# on the condition "pressure setpoint transitioned from non-5.000 to 5.000".
#
# covent_pc_1
# Captured 2020-06-21 05:14:27.386497 by unknown user
# Built at revision 050777a (dirty)
time(sec) pressure net_flow volume breath_id
5.620 7.432 -301.458 175.830 4
5.630 7.361 -301.533 172.815 4
5.640 7.338 -296.893 169.822 4
5.650 7.273 -292.902 166.874 4
5.660 7.162 -300.001 163.909 4
5.670 7.229 -302.773 160.895 4
5.680 7.118 -290.855 157.927 4
5.690 7.127 -296.129 154.992 4
5.700 6.998 -285.526 152.084 4
5.710 6.893 -286.907 149.222 4
5.720 6.927 -283.672 146.369 4
5.730 6.872 -282.216 143.540 4
5.740 6.817 -288.672 140.685 4
5.750 6.841 -279.392 137.845 4
5.760 6.686 -269.842 135.099 4
5.770 6.610 -274.584 132.377 4
5.780 6.675 -275.855 129.625 4
5.790 6.578 -272.250 126.884 4
5.800 6.546 -276.250 124.142 4
5.810 6.504 -272.242 121.399 4
5.820 6.410 -265.718 118.709 4
5.830 6.415 -266.755 116.047 4
5.840 6.322 -259.679 113.415 4
5.850 6.322 -258.947 110.822 4
5.860 6.257 -261.030 108.222 4
5.870 6.231 -253.164 105.651 4
5.880 6.207 -256.728 103.102 4
5.890 6.161 -259.935 100.518 4
5.900 6.138 -253.201 97.953 4
5.910 6.086 -248.081 95.446 4
5.920 6.115 -253.015 92.940 4
5.930 6.057 -244.463 90.453 4
5.940 6.009 -240.146 88.030 4
5.950 5.901 -240.983 85.624 4
5.960 5.923 -240.573 83.217 4
5.970 5.899 -236.637 80.831 4
5.980 5.834 -230.797 78.494 4
5.990 5.751 -235.710 76.161 4
6.000 5.811 -238.854 73.788 4
6.010 5.749 -226.315 71.463 4
6.020 5.679 -228.891 69.186 4
6.030 5.643 -223.661 66.924 4
6.040 5.626 -227.616 64.668 4
6.050 5.578 -224.350 62.408 4
6.060 5.539 -217.745 60.197 4
6.070 5.516 -219.254 58.012 4
6.080 5.493 -217.756 55.827 4
6.090 5.454 -215.197 53.662 4
6.100 5.354 -205.114 51.560 4
6.110 5.448 -220.056 49.435 4
6.120 5.326 -204.775 47.311 4
6.130 5.344 -206.929 45.252 4
6.140 5.302 -198.851 43.224 4
6.150 5.240 -203.728 41.211 4
6.160 5.170 -198.755 39.198 4
6.170 5.133 -200.539 37.202 4
6.180 5.162 -195.754 35.220 4
6.190 5.137 -193.494 33.274 4
6.200 5.116 -194.511 31.334 4
6.210 5.090 -197.061 29.376 4
6.220 4.992 -181.152 27.485 4
6.230 4.967 -192.111 25.619 4
6.240 4.936 -184.146 23.738 4
6.250 4.891 -184.629 21.894 4
6.260 4.877 -184.602 20.048 4
6.270 4.894 -178.665 18.231 4
6.280 4.875 -175.896 16.458 4
6.290 4.913 -175.190 14.703 4
6.300 4.904 -172.978 12.962 4
6.310 4.873 -165.162 11.271 4
6.320 4.810 -151.819 9.687 4
6.330 4.795 -142.459 8.215 4
6.340 4.835 -144.079 6.783 4
6.350 4.830 -136.122 5.382 4
6.360 4.842 -139.178 4.005 4
6.370 4.793 -132.111 2.649 4
6.380 4.795 -116.258 1.407 4
6.390 4.823 -109.226 0.279 4
6.400 4.876 -98.239 -0.758 4
6.410 4.828 -98.878 -1.743 4
6.420 4.858 -81.718 -2.646 4
6.430 4.835 -91.317 -3.512 4
6.440 4.808 -81.381 -4.375 4
6.450 4.837 -64.054 -5.102 4
6.460 4.863 -64.271 -5.744 4
6.470 4.851 -50.124 -6.316 4
6.480 4.849 -33.129 -6.732 4
6.490 4.916 -48.050 -7.138 4
6.500 4.927 -34.127 -7.549 4
6.510 4.862 -39.957 -7.919 4
6.520 4.897 -23.644 -8.237 4
6.530 4.856 -25.058 -8.481 4
6.540 4.881 -11.345 -8.663 4
6.550 4.874 -2.149 -8.730 4
6.560 4.889 7.445 -8.704 4
6.570 4.941 13.311 -8.600 4
6.580 4.918 10.117 -8.483 4
6.590 4.827 18.132 -8.342 4
6.600 4.867 15.455 -8.174 4
6.610 4.925 20.807 -7.992 4
6.620 4.974 23.108 -7.773 4
6.630 4.955 44.636 -7.434 4
6.640 4.900 42.038 -7.001 4
6.650 4.990 39.602 -6.592 4
6.660 4.897 40.031 -6.194 4
6.670 5.006 30.482 -5.842 4
6.680 5.112 44.622 -5.466 4
6.690 4.985 47.293 -5.007 4
6.700 4.931 45.382 -4.543 4
6.710 4.943 47.791 -4.078 4
6.720 5.038 42.069 -3.628 4
6.730 4.997 64.282 -3.096 4
6.740 5.046 44.562 -2.552 4
6.750 5.002 40.742 -2.126 4
6.760 5.041 47.729 -1.683 4
6.770 5.071 53.675 -1.176 4
6.780 5.068 63.296 -0.591 4
