# Captured 2020-06-18 16:25:11.789034 by jlebar
# Built at revision a4c6d043 (dirty)
#
# Ventilator was run attached to QuickLung at covent preset #1 (but with lung
# compliance = 10 ml/cmH2O, that's just how it was set).
#
# I then disconnected the hose for a few cycles, and then reconnected it.
time(sec)  pressure  net_flow  flow_uncorrected  pc_setpoint
4.490  2.519  1132.171  1156.894  5.000
4.500  3.211  1108.734  1133.458  5.000
4.510  2.515  1210.484  1235.207  5.000
4.520  3.924  1027.834  1052.557  5.000
4.530  2.808  1078.142  1102.865  5.000
4.540  1.740  1132.534  1157.257  5.000
4.550  2.793  1166.159  1190.883  5.000
4.560  2.686  1114.534  1139.258  5.000
4.570  3.123  1022.873  1047.597  5.000
4.580  2.198  1084.698  1109.422  5.000
4.590  2.736  1098.228  1122.951  5.000
4.600  2.926  1123.273  1147.997  5.000
4.610  2.263  1186.089  1210.812  5.000
4.620  2.803  1110.672  1135.395  5.000
4.630  2.528  1187.452  1212.175  5.000
4.640  1.648  1165.732  1190.456  5.000
4.650  3.426  960.296  985.019  5.000
4.660  3.743  961.686  986.410  5.000
4.670  2.410  1224.482  1249.205  5.000
4.680  2.448  1140.481  1165.204  5.000
4.690  2.811  1154.374  1179.097  5.000
4.700  2.689  1120.062  1144.786  5.000
4.710  2.910  1048.598  1073.321  5.000
4.720  2.531  1145.287  1170.010  5.000
4.730  2.743  1102.054  1126.778  5.000
4.740  1.801  1229.135  1253.858  5.000
4.750  3.014  1084.805  1109.529  5.000
4.760  2.356  1214.952  1239.675  5.000
4.770  2.792  1100.790  1125.513  5.000
4.780  3.117  1106.057  1130.780  5.000
4.790  3.212  1093.026  1117.749  5.000
4.800  2.405  1233.942  1258.665  5.000
4.810  2.706  1180.685  1205.408  5.000
4.820  2.992  1079.288  1104.012  5.000
4.830  2.709  1264.551  1289.274  5.000
4.840  1.976  1197.217  1221.940  5.000
4.850  3.097  1119.451  1144.174  5.000
4.860  2.495  1131.396  1156.119  5.000
4.870  2.856  1055.036  1079.760  5.000
4.880  3.038  1148.760  1173.484  5.000
4.890  3.464  1165.516  1190.239  5.000
4.900  2.763  1102.374  1127.098  5.000
4.910  3.010  1078.808  1103.531  5.000
4.920  1.715  1131.449  1156.173  5.000
4.930  2.385  1161.528  1186.252  5.000
4.940  2.937  1164.490  1189.213  5.000
4.950  3.151  934.183  958.907  5.000
4.960  2.301  1187.099  1211.823  5.000
4.970  1.908  1100.906  1125.629  5.000
4.980  1.884  1297.247  1321.970  5.000
4.990  3.756  1057.154  1081.878  5.000
5.000  3.045  1106.394  1131.118  5.000
5.010  2.558  1187.536  1212.260  5.000
5.020  2.889  1097.044  1121.767  5.000
5.030  2.260  1166.002  1190.726  5.000
5.040  2.058  1212.991  1237.714  5.000
5.050  3.010  1123.057  1147.781  5.000
5.060  2.300  1296.931  1321.654  5.000
5.070  2.826  1104.832  1129.556  5.000
5.080  1.787  1306.863  1331.586  5.000
5.090  2.280  1136.998  1161.721  5.000
5.100  1.958  1197.751  1222.474  5.000
5.110  3.663  1034.045  1058.769  5.000
5.120  2.144  1212.342  1237.065  5.000
5.130  1.878  1216.247  1240.971  5.000
5.140  3.117  1121.800  1146.523  5.000
