# covent_pc_1
# Captured 2020-07-03 20:38:13.786288 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
3.240 5.000 0.866 0.006 3.380 0.050 0.600 0.000
3.250 5.000 0.864 0.007 3.320 0.050 0.600 0.000
3.260 5.000 0.850 0.049 3.248 0.050 0.600 0.000
3.270 5.000 0.838 0.053 3.218 0.050 0.600 0.000
3.280 5.000 0.838 0.027 3.239 0.050 0.600 0.000
3.290 5.000 0.837 -0.026 3.240 0.050 0.600 0.000
3.300 5.000 0.831 0.068 3.176 0.050 0.600 0.000
3.310 5.000 0.822 0.012 3.191 0.050 0.600 0.000
3.320 5.000 0.822 0.026 3.166 0.050 0.600 0.000
3.330 5.000 0.804 0.038 3.139 0.050 0.600 0.000
3.340 5.000 0.797 0.005 3.159 0.050 0.600 0.000
3.350 5.000 0.795 -0.004 3.105 0.050 0.600 0.000
3.360 5.000 0.781 0.065 3.015 0.050 0.600 0.000
3.370 5.000 0.783 0.020 3.020 0.050 0.600 0.000
3.380 5.000 0.768 0.011 2.900 0.050 0.600 0.000
3.390 5.000 0.752 0.077 2.887 0.050 0.600 0.000
3.400 5.000 0.749 -0.031 2.918 0.050 0.600 0.000
3.410 5.000 0.742 0.043 2.920 0.050 0.600 0.000
3.420 5.000 0.737 0.026 2.851 0.050 0.600 0.000
3.430 5.000 0.733 0.040 2.804 0.050 0.600 0.000
3.440 5.000 0.729 0.008 2.842 0.050 0.600 0.000
3.450 5.000 0.720 0.021 2.758 0.050 0.600 0.000
3.460 5.000 0.718 0.080 2.750 0.050 0.600 0.000
3.470 5.000 0.701 0.014 2.734 0.050 0.600 0.000
3.480 5.000 0.699 0.049 2.657 0.050 0.600 0.000
3.490 5.000 0.687 0.022 2.617 0.050 0.600 0.000
3.500 5.000 0.679 0.040 2.601 0.050 0.600 0.000
3.510 5.000 0.680 -0.026 2.633 0.050 0.600 0.000
3.520 5.000 0.670 0.051 2.629 0.050 0.600 0.000
3.530 5.000 0.663 0.049 2.576 0.050 0.600 0.000
3.540 5.000 0.649 0.033 2.480 0.050 0.600 0.000
3.550 5.000 0.653 0.018 2.479 0.050 0.600 0.000
3.560 5.000 0.641 0.069 2.465 0.050 0.600 0.000
3.570 5.000 0.639 0.003 2.506 0.050 0.600 0.000
3.580 5.000 0.630 0.046 2.419 0.050 0.600 0.000
3.590 5.000 0.626 0.035 2.472 0.050 0.600 0.000
3.600 5.000 0.615 0.057 2.345 0.050 0.600 0.000
3.610 5.000 0.609 0.032 2.329 0.050 0.600 0.000
3.620 5.000 0.600 0.031 2.331 0.050 0.600 0.000
3.630 5.000 0.601 0.032 2.320 0.050 0.600 0.000
3.640 5.000 0.597 -0.004 2.298 0.050 0.600 0.000
3.650 5.000 0.597 0.021 2.334 0.050 0.600 0.000
3.660 5.000 0.582 0.041 2.225 0.050 0.600 0.000
3.670 5.000 0.568 0.033 2.164 0.050 0.600 0.000
3.680 5.000 0.570 0.043 2.213 0.050 0.600 0.000
3.690 5.000 0.560 0.028 2.125 0.050 0.600 0.000
3.700 5.000 0.552 0.058 2.130 0.050 0.600 0.000
3.710 5.000 0.548 -0.017 2.083 0.050 0.600 0.000
3.720 5.000 0.547 0.050 2.104 0.050 0.600 0.000
3.730 5.000 0.535 -0.030 2.058 0.050 0.600 0.000
3.740 5.000 0.534 0.055 1.996 0.050 0.600 0.000
3.750 5.000 0.525 -0.015 1.994 0.050 0.600 0.000
3.760 5.000 0.528 0.042 2.020 0.050 0.600 0.000
3.770 5.000 0.520 0.033 1.994 0.050 0.600 0.000
3.780 5.000 0.509 0.036 1.918 0.050 0.600 0.000
3.790 5.000 0.511 -0.013 1.933 0.050 0.600 0.000
3.800 5.000 0.502 0.061 1.962 0.050 0.600 0.000
3.810 5.000 0.497 0.002 1.919 0.050 0.600 0.000
3.820 5.000 0.488 0.055 1.839 0.050 0.600 0.000
3.830 5.000 0.487 0.033 1.831 0.051 0.600 0.000
3.840 5.000 0.478 -0.004 1.817 0.052 0.599 0.000
3.850 5.000 0.477 0.036 1.806 0.054 0.598 0.000
3.860 5.000 0.470 0.005 1.781 0.056 0.597 0.000
3.870 5.000 0.467 0.023 1.793 0.058 0.595 0.000
3.880 5.000 0.461 0.033 1.763 0.062 0.594 0.000
3.890 5.000 0.457 0.041 1.728 0.065 0.592 0.000
3.900 5.000 0.448 0.063 1.693 0.070 0.589 0.000
3.910 5.000 0.442 0.010 1.670 0.075 0.586 0.000
3.920 5.000 0.439 0.056 1.689 0.080 0.583 0.000
3.930 5.000 0.437 0.037 1.695 0.085 0.581 0.000
3.940 5.000 0.432 0.067 1.633 0.091 0.577 0.000
3.950 5.000 0.423 0.082 1.563 0.099 0.573 0.000
3.960 5.000 0.425 0.039 1.561 0.105 0.570 0.000
3.970 5.000 0.424 0.071 1.550 0.112 0.566 0.000
3.980 5.000 0.421 0.050 1.514 0.119 0.562 0.000
3.990 5.000 0.423 0.090 1.528 0.125 0.559 0.000
4.000 5.000 0.418 0.069 1.476 0.133 0.554 0.000
4.010 5.000 0.414 0.002 1.420 0.141 0.550 0.000
4.020 5.000 0.411 0.044 1.442 0.149 0.546 0.000
4.030 5.000 0.407 0.010 1.425 0.157 0.541 0.000
4.040 5.000 0.401 0.069 1.357 0.166 0.536 0.000
4.050 5.000 0.400 0.012 1.342 0.175 0.531 0.000
4.060 5.000 0.403 0.074 1.265 0.184 0.526 0.000
